"date","home.team","away.team","home.score","away.score"
2010-08-28,"Hercules","Ath Bilbao",0,1
2010-08-28,"Levante","Sevilla",1,4
2010-08-28,"Malaga","Valencia",1,3
2010-08-29,"Espanol","Getafe",3,1
2010-08-29,"La Coruna","Zaragoza",0,0
2010-08-29,"Mallorca","Real Madrid",0,0
2010-08-29,"Osasuna","Almeria",0,0
2010-08-29,"Santander","Barcelona",0,3
2010-08-29,"Sociedad","Villarreal",1,0
2010-08-30,"Ath Madrid","Sp Gijon",4,0
2010-09-11,"Ath Bilbao","Ath Madrid",1,2
2010-09-11,"Barcelona","Hercules",0,2
2010-09-11,"Real Madrid","Osasuna",1,0
2010-09-11,"Valencia","Santander",1,0
2010-09-12,"Getafe","Levante",4,1
2010-09-12,"Sevilla","La Coruna",0,0
2010-09-12,"Sp Gijon","Mallorca",2,0
2010-09-12,"Villarreal","Espanol",4,0
2010-09-12,"Zaragoza","Malaga",3,5
2010-09-13,"Almeria","Sociedad",2,2
2010-09-18,"Espanol","Almeria",1,0
2010-09-18,"Mallorca","Osasuna",2,0
2010-09-18,"Sociedad","Real Madrid",1,2
2010-09-18,"Sp Gijon","Ath Bilbao",2,2
2010-09-19,"Ath Madrid","Barcelona",1,2
2010-09-19,"Hercules","Valencia",1,2
2010-09-19,"Levante","Villarreal",1,2
2010-09-19,"Malaga","Sevilla",1,2
2010-09-19,"Santander","Zaragoza",2,0
2010-09-20,"La Coruna","Getafe",2,2
2010-09-21,"Ath Bilbao","Mallorca",3,0
2010-09-21,"Osasuna","Sociedad",3,1
2010-09-21,"Real Madrid","Espanol",3,0
2010-09-22,"Almeria","Levante",0,1
2010-09-22,"Barcelona","Sp Gijon",1,0
2010-09-22,"Valencia","Ath Madrid",1,1
2010-09-22,"Zaragoza","Hercules",0,0
2010-09-23,"Getafe","Malaga",0,2
2010-09-23,"Sevilla","Santander",1,1
2010-09-23,"Villarreal","La Coruna",1,0
2010-09-25,"Ath Bilbao","Barcelona",1,3
2010-09-25,"Levante","Real Madrid",0,0
2010-09-25,"Sp Gijon","Valencia",0,2
2010-09-26,"Ath Madrid","Zaragoza",1,0
2010-09-26,"Espanol","Osasuna",1,0
2010-09-26,"Hercules","Sevilla",2,0
2010-09-26,"La Coruna","Almeria",0,2
2010-09-26,"Mallorca","Sociedad",2,0
2010-09-26,"Santander","Getafe",0,1
2010-09-27,"Malaga","Villarreal",2,3
2010-10-02,"Sociedad","Espanol",1,0
2010-10-02,"Valencia","Ath Bilbao",2,1
2010-10-02,"Zaragoza","Sp Gijon",2,2
2010-10-03,"Almeria","Malaga",1,1
2010-10-03,"Barcelona","Mallorca",1,1
2010-10-03,"Getafe","Hercules",3,0
2010-10-03,"Osasuna","Levante",1,1
2010-10-03,"Real Madrid","La Coruna",6,1
2010-10-03,"Sevilla","Ath Madrid",3,1
2010-10-03,"Villarreal","Santander",2,0
2010-10-16,"Ath Madrid","Getafe",2,0
2010-10-16,"Barcelona","Valencia",2,1
2010-10-16,"Malaga","Real Madrid",1,4
2010-10-17,"Ath Bilbao","Zaragoza",2,1
2010-10-17,"La Coruna","Osasuna",0,0
2010-10-17,"Levante","Sociedad",2,1
2010-10-17,"Mallorca","Espanol",0,1
2010-10-17,"Santander","Almeria",1,0
2010-10-17,"Sp Gijon","Sevilla",2,0
2010-10-18,"Hercules","Villarreal",2,2
2010-10-23,"Real Madrid","Santander",6,1
2010-10-23,"Valencia","Mallorca",1,2
2010-10-23,"Zaragoza","Barcelona",0,2
2010-10-24,"Almeria","Hercules",1,1
2010-10-24,"Espanol","Levante",2,1
2010-10-24,"Getafe","Sp Gijon",3,0
2010-10-24,"Osasuna","Malaga",3,0
2010-10-24,"Sevilla","Ath Bilbao",4,3
2010-10-24,"Villarreal","Ath Madrid",2,0
2010-10-25,"Sociedad","La Coruna",3,0
2010-10-30,"Barcelona","Sevilla",5,0
2010-10-30,"Hercules","Real Madrid",1,3
2010-10-30,"Valencia","Zaragoza",1,1
2010-10-31,"Ath Bilbao","Getafe",3,0
2010-10-31,"Ath Madrid","Almeria",1,1
2010-10-31,"La Coruna","Espanol",3,0
2010-10-31,"Malaga","Sociedad",1,2
2010-10-31,"Santander","Osasuna",4,1
2010-10-31,"Sp Gijon","Villarreal",1,1
2010-11-01,"Mallorca","Levante",2,1
2010-11-06,"Espanol","Malaga",1,0
2010-11-06,"Sociedad","Santander",1,0
2010-11-07,"Almeria","Sp Gijon",1,1
2010-11-07,"Getafe","Barcelona",1,3
2010-11-07,"Levante","La Coruna",1,2
2010-11-07,"Osasuna","Hercules",3,0
2010-11-07,"Real Madrid","Ath Madrid",2,0
2010-11-07,"Villarreal","Ath Bilbao",4,1
2010-11-07,"Zaragoza","Mallorca",3,2
2010-11-08,"Sevilla","Valencia",2,0
2010-11-13,"Ath Bilbao","Almeria",1,0
2010-11-13,"Ath Madrid","Osasuna",3,0
2010-11-13,"Barcelona","Villarreal",3,1
2010-11-14,"Hercules","Sociedad",2,1
2010-11-14,"Malaga","Levante",1,0
2010-11-14,"Mallorca","La Coruna",0,0
2010-11-14,"Santander","Espanol",0,0
2010-11-14,"Sp Gijon","Real Madrid",0,1
2010-11-14,"Valencia","Getafe",2,0
2010-11-14,"Zaragoza","Sevilla",1,2
2010-11-20,"Almeria","Barcelona",0,8
2010-11-20,"Real Madrid","Ath Bilbao",5,1
2010-11-20,"Villarreal","Valencia",1,1
2010-11-21,"Espanol","Hercules",3,0
2010-11-21,"La Coruna","Malaga",3,0
2010-11-21,"Levante","Santander",3,1
2010-11-21,"Osasuna","Sp Gijon",1,0
2010-11-21,"Sevilla","Mallorca",1,2
2010-11-21,"Sociedad","Ath Madrid",2,4
2010-11-22,"Getafe","Zaragoza",1,1
2010-11-27,"Ath Madrid","Espanol",2,3
2010-11-27,"Sevilla","Getafe",1,3
2010-11-27,"Zaragoza","Villarreal",0,3
2010-11-28,"Ath Bilbao","Osasuna",1,0
2010-11-28,"Hercules","Levante",3,1
2010-11-28,"Mallorca","Malaga",2,0
2010-11-28,"Santander","La Coruna",1,0
2010-11-28,"Sp Gijon","Sociedad",1,3
2010-11-28,"Valencia","Almeria",2,1
2010-11-29,"Barcelona","Real Madrid",5,0
2010-12-04,"Levante","Ath Madrid",2,0
2010-12-04,"Osasuna","Barcelona",0,3
2010-12-04,"Real Madrid","Valencia",2,0
2010-12-05,"Almeria","Zaragoza",1,1
